analysis,model,PC1,PC2,PC3,PC4
magic_athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,2.958704401722076,-2.819694337097797,-0.15597216199843472,0.025494702555109577
magic_athey_bagwell,Qwen/Qwen3-14B-Thinking-On,-1.2948388875216041,-0.1023481146508506,-0.14817766598247065,-5.1495584144861836e-05
magic_athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,-1.2948388875216046,-0.10234811465085106,-0.14817766598247029,-5.14955841454638e-05
magic_athey_bagwell,Qwen/Qwen3-30B-A3B-Thinking-Off,-0.9899675449775392,-0.13997715826819748,0.07529912353058771,0.008213647251210411
magic_athey_bagwell,Qwen/Qwen3-30B-A3B-Thinking-On,-1.2948388875216044,-0.10234811465085002,-0.14817766598247073,-5.149558414501007e-05
magic_athey_bagwell,Qwen/Qwen3-32B-Thinking-Off,-0.06400541183229962,-0.5579102884881649,0.36989307147849254,-0.003624616057423495
magic_athey_bagwell,Qwen/Qwen3-32B-Thinking-On,-0.7096542483851592,0.2741040031464161,0.11600190647457664,-0.004451939623333098
magic_athey_bagwell,meta-llama/Llama-3.3-70B-Instruct-Turbo,-1.2948388875216044,-0.10234811465085002,-0.14817766598247073,-5.149558414501007e-05
magic_athey_bagwell,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.8445118431303562,2.878530596377854,-0.00795166714516293,0.04102132823853608
magic_athey_bagwell,meta-llama/Llama-4-Scout-17B-16E-Instruct,2.6459033196236987,0.9149940948075567,-0.30888453293362456,-0.050787556402716025
magic_athey_bagwell,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,-1.2948388875216044,-0.10234811465085002,-0.14817766598247073,-5.149558414501007e-05
magic_athey_bagwell,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.788702078326888,-0.03830633722341645,0.6525025905059192,-0.015608088040658243
magic_green_porter,Qwen/Qwen3-14B-Thinking-Off,1.8027482038668332,0.42151726691700253,,
magic_green_porter,Qwen/Qwen3-14B-Thinking-On,-1.1716836097085386,-0.19430551093588266,,
magic_green_porter,Qwen/Qwen3-235B-A22B-Instruct-2507,1.2785137873364356,0.039121736117032686,,
magic_green_porter,Qwen/Qwen3-30B-A3B-Thinking-Off,-0.9725999596410179,-0.42965435889661824,,
magic_green_porter,Qwen/Qwen3-30B-A3B-Thinking-On,0.2743622124382268,-0.516130198392992,,
magic_green_porter,Qwen/Qwen3-32B-Thinking-Off,1.7823119798778964,0.40568829301272546,,
magic_green_porter,Qwen/Qwen3-32B-Thinking-On,-2.106053573942722,0.7037992554050859,,
magic_green_porter,meta-llama/Llama-3.3-70B-Instruct-Turbo,-0.8156051635300279,-0.5866491550076084,,
magic_green_porter,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.0018943470854178,-0.1194411983505255,,
magic_green_porter,meta-llama/Llama-4-Scout-17B-16E-Instruct,1.240405085816557,0.0047000418504814815,,
magic_green_porter,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,-1.9296944044676672,0.5274400859300311,,
magic_green_porter,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,-0.38459890513139344,-0.25608625764873355,,
magic_salop,Qwen/Qwen3-14B-Thinking-Off,-0.852851323691244,0.12744043557357054,0.39257016870572264,
magic_salop,Qwen/Qwen3-14B-Thinking-On,2.317821823803854,0.15862100897661482,-0.2125555450600185,
magic_salop,Qwen/Qwen3-235B-A22B-Instruct-2507,-0.7211403318855368,0.12855492260165885,0.15136315793387078,
magic_salop,Qwen/Qwen3-30B-A3B-Thinking-Off,-0.08102975603930596,0.45861908247218097,0.6933204353859266,
